artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
125684,1,Hummus 1.4kg,,13.635,13.635
113891,3,Hummus basilicum 400g,,5.412,16.236
102523,6,Pitabroodjes 6st 480g,,1.416,8.496
127869,8,Wortel snack 150g,Boni Selection,2.201,17.608
29382,10,komkommer,,0.988,9.88
129413,2,paprika rood gesneden 1kg,,9.434,18.868
106621,4,Cocktailtomaten BIO 250g,,3.075,12.3
11616,10,Studentenhaver 200g,,2.1,21
130475,1,Assortiment koekjes 200st,,25.247,25.247
123003,10,Tortillas (30cm) 15st,Poco Loco,2.685,26.85
129413,4,Bell peppers (paprika),,9.434,37.736
48931,1,ui,,7.596,7.596
7178,2,Kidney beans,,6.936,13.872
8581,12,Corn (maïs),,0.989,11.868
74633,4,Fajita sauce (Poco Loco 430g),Poco Loco,3.048,12.192
128705,2,Verstegen Tex Mex seasoning 165g,,6.409,12.818
113351,3,Varkensgehakt ±2.5kg,,26.08,78.24
29410,6,Lettuce,,1.542,9.252
109083,3,Tomato,,3.054,9.162
114488,3,Grated cheese,,6.723,20.169
125826,2,Crème fraîche,,10.913,21.826
