artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
17933,8,Penne rigate 500g,Boni Selection,0.977,7.816
48931,1,Ajuin gesneden 2.5kg,,7.596,7.596
130797,1,Pure olijfolie geraffineerd 1L,Culino,7.735,7.735
128927,2,Passata van gezeefde tomaten 2.5kg,,8.52,17.04
131160,1,Pesto Genovese fijn 450g,Culino,6.282,6.282
118314,2,Tonijn in zonnebloemolie MSC 1.7kg,Econom,11.436,22.872
121366,1,Kappertjes op azijn 900g,Econom,4.854,4.854
121663,1,Gorgonzola dolce 1/8 AOP ca. 1.5kg,Ballarini,20.7135,20.7135
130472,2,Dragon 8g,Boni Selection,1.01,2.02
29897,4,Courgette 1st,,1.812,2.559
