artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
73776,1,Brie rechthoek 900g,,9.366,9.366
59968,4,Kruidenkaas 150g,,1.118,4.472
103106,2,Fagotin tradition kaas 170g,,5.681,11.362
54215,4,Geitenkaasrolletje 180g,,2.25,9
127397,1,Mascarpone-feta kaasdip peppadew 600g,,11.683,11.683
122544,5,Wener appeltaart 12p 1.8kg,,11.507,57.535
129910,2,Whipped dolce spray 500ml,Rama Professional,5.314,10.628
130828,2,Rijst basmati 2kg,Boni Selection,5.066,10.132
103271,6,Kokosmelk 1L,AROY-D,4.179,25.074
10012,12,Tomatenstukjes 400g,,0.993,11.916
131131,3,Rode linzen gespleten 1kg,Tadal,3.424,10.272
116339,1,Kikkererwten 4kg,Econom,6.381,6.381
118385,4,Kipfilet in blokjes ±2kg,Paas Food,21.724,86.896
114769,2,Bresc Thai Gele 900g,,6.942,13.884
48931,1,Ajuin gesneden 2.5kg,,7.596,7.596
29809,1,Knoflook cat.1 zakje 250g,,1.896,1.896
29856,4,Spinazie 400g,Boni Selection,2.051,8.204
66159,1,Oil (300-400ml),,2.973,2.973
